Annex 8: Scores of the Gender Equality Index and the domain of work;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Country;Index;Work;Participation;Gap adjusted by levels of achievement;;Segregation and quality of work;Gap adjusted by levels of achievement;;;
;;;;FTE employment;Duration of working life;;Sectoral segregation;Flexibility of working time;Health and safety;Training at work
BE;59,6;66,4;70,7;66,5;74,8;62,3;41,2;51,6;89,1;67,3
BG;37,0;49,9;75,5;76,0;75,1;33,0;25,4;28,9;60,7;17,0
CZ;44,4;71,6;77,3;78,4;76,1;66,4;25,9;60,5;89,6;89,7
DK;73,6;81,6;90,1;85,8;94,3;73,9;45,8;64,6;99,5;85,8
DE;51,6;72,5;76,7;68,1;85,2;68,6;40,1;73,9;92,0;68,2
EE;50,0;64,6;84,9;81,4;88,4;49,2;24,7;44,2;66,3;61,5
IE;55,2;71,0;73,9;72,5;75,3;68,1;36,6;65,0;93,1;77,8
EL;40,0;59,7;65,4;62,0;68,9;54,4;44,0;82,2;64,2;27,2
ES;54,0;61,3;71,6;66,0;77,3;52,5;43,0;40,0;73,0;54,0
FR;57,1;67,0;76,1;71,6;80,5;59,1;43,2;62,4;84,6;46,2
IT;40,9;60,6;57,8;54,9;60,7;63,4;35,8;75,7;93,9;48,4
CY;42,0;68,7;84,9;87,1;82,7;55,6;49,1;47,7;76,0;49,6
LV;44,4;54,9;83,2;80,4;85,9;36,2;22,7;25,8;53,2;43,1
LT;43,6;61,0;81,9;81,1;82,7;45,4;30,9;36,0;74,9;39,9
LU;50,7;66,4;70,3;70,2;70,4;62,7;53,0;45,3;88,1;64,2
HU;41,4;55,9;68,3;68,2;68,4;45,7;31,9;26,9;73,6;50,4
MT;41,6;55,0;53,0;51,7;54,3;57,0;45,5;45,6;77,7;59,4
NL;69,7;73,1;77,6;64,8;90,4;68,8;36,9;49,8;94,6;94,0
AT;50,4;73,9;79,0;74,1;84,0;69,1;39,9;71,6;85,5;79,4
PL;44,1;61,4;73,4;74,3;72,6;51,3;25,2;46,4;70,4;63,1
PT;41,3;66,2;85,6;83,6;87,7;51,1;28,6;43,6;84,6;47,7
RO;35,3;60,4;74,5;76,7;72,3;49,0;20,9;63,6;75,1;36,3
SI;56,0;69,1;82,7;83,9;81,5;57,7;27,7;39,4;70,6;93,1
SK;40,9;61,0;75,3;76,8;73,8;49,3;22,3;33,1;72,2;69,7
FI;73,4;82,0;88,3;86,3;90,4;76,1;31,8;91,6;88,1;92,8
SE;74,3;78,6;91,2;86,2;96,3;67,7;38,1;73,2;64,6;95,0
UK;60,4;76,6;79,7;72,4;86,9;73,7;42,4;74,9;91,7;85,9
EU-27;54,0;69,0;76,6;74,1;79,0;62,2;37,0;62,5;84,5;65,0
