geo\time;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Belgium;113096;114005;117295;119622;122529;124095;127205;127198;130100;128705;128051;125606
Bulgaria;66499;67359;69886;71075;73978;75349;77712;80956;75513;70846;69121;66578
Czech Republic;92786;93685;97664;102211;105831;114632;119570;118348;117153;108673;108576;106751
Denmark;64149;64682;64609;64282;64984;64082;65038;62818;63411;58998;57916;55873
Germany;719250;706721;705622;685795;672724;684862;682514;665126;677947;662685;673544;685000
Estonia;13001;13036;13992;14350;14877;15775;16028;15763;15825;14679;14056;13531
Ireland;60503;61529;61972;61372;65425;71389;75173;75554;75174;74033;72225;68930
Greece;103569;104420;105655;107545;112042;111926;118302;117933;114766;106428;100371;94146
Spain;417688;440531;453172;464811;481295;491138;518503;493717;485252;470553;453348;424494
France;793606;793893;800240;807787;830288;819605;829311;825564;833654;824263;821844;810820
Italy;538198;544063;562599;554022;560010;563933;576659;568857;561944;546585;534186;514308
Cyprus;7883;8088;8309;8243;8731;8575;9205;9608;9801;9622;10161;9290
Latvia;20127;21151;20551;21879;22871;23958;24397;22044;19781;18825;19897;20596
Lithuania;29541;29977;29769;29510;29606;30020;31536;32165;30676;30268;30459;29885
Luxembourg;5345;5303;5452;5371;5514;5477;5596;5638;5874;5639;6026;6115
Hungary;96804;94647;95137;97496;99871;97613;99149;96442;90335;88049;90269;91000
Malta;3918;4050;3887;3858;3779;3765;4013;4029;3898;4165;4130;4032
Netherlands;202083;200297;194007;187910;185057;181336;184634;184915;184397;180060;175959;171341
Austria;78399;76944;78968;78190;77914;76250;77752;76344;78742;78109;78952;79330
Poland;353765;351072;356131;364383;374244;387873;414499;417589;413300;388416;386257;369576
Portugal;114383;112515;109298;109399;105449;102492;104594;99491;101381;96855;89841;82787
Romania;210529;212459;216261;221020;219483;214728;221900;222388;212199;196242;201104;176013
Slovenia;17501;17321;17961;18157;18932;19823;21817;21856;22343;21947;21938;21111
Slovakia;50841;51713;53747;54430;53904;54424;57360;61217;60410;60813;55535;54823
Finland;55555;56630;57758;57745;58840;58729;59530;60430;60980;59961;59493;58134
Sweden;95815;99157;100928;101346;105913;107421;109301;111801;115641;111770;113177;113593
United Kingdom;668777;695549;715996;722549;748563;772245;794383;790204;807271;807776;812970;782089
EU (27 countries);4993611;5040797;5116866;5134358;5222654;5281515;5425681;5367995;5367768;5224965;5189406;5035752
