geo\time;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
EU (27 countries);65,5;66,2;66,6;66,9;66,7;67,1;67,4;68;69;69,9;70,3;69;68,6;68,6;68,5;68,5
Belgium;62,7;64,5;65,8;65;65;64,7;65,6;66,5;66,5;67,7;68;67,1;67,6;67,3;67,2;67,2
Bulgaria;:;:;55,3;54,8;55,8;58;60,1;61,9;65,1;68,4;70,7;68,8;65,4;62,9;63;63,5
Czech Republic;73,4;71,5;71;71,2;71,6;70,7;70,1;70,7;71,2;72;72,4;70,9;70,4;70,9;71,5;72,5
Denmark;76,8;77,7;78;78,3;77,7;77,3;77,6;78;79,4;79;79,7;77,5;75,8;75,7;75,4;75,6
Germany;67,2;68,3;68,8;69,1;68,8;68,4;68,8;69,4;71,1;72,9;74;74,2;74,9;76,5;76,9;77,3
Estonia;71,2;68,5;66,6;67,4;68;69,6;70,3;72;75,9;76,9;77,1;70;66,8;70,6;72,2;73,3
Ireland;66,3;68,8;70,4;71,1;70,7;70,6;71,5;72,6;73,4;73,8;72,3;66,9;64,6;63,8;63,7;65,5
Greece;61,3;61,4;61,9;61,5;62,5;63,6;63,9;64,4;65,6;65,8;66,3;65,6;63,8;59,6;55;52,9
Spain;55,9;58,3;60,7;62,1;63,1;64,3;65,4;67,5;69;69,7;68,5;64;62,8;62;59,6;58,6
France;65,8;66,6;67,8;68,5;68,7;69,7;69,5;69,4;69,3;69,8;70,4;69,5;69,3;69,3;69,4;69,6
Italy;55,7;56,4;57,4;58,5;59,4;60;61,5;61,6;62,5;62,8;63;61,7;61,1;61,2;61;59,8
Cyprus;:;:;72,3;74,1;75,1;75,4;74,9;74,4;75,8;76,8;76,5;75,3;75;73,4;70,2;67,2
Latvia;65,4;64,5;63,5;65,1;66,5;67,8;67,9;69,1;73,2;75,2;75,4;66,6;64,3;66,3;68,1;69,7
Lithuania;68,2;67,8;65,6;64,2;67,2;68,9;69,3;70,7;71,3;72,7;72;67;64,3;66,9;68,5;69,9
Luxembourg;64,9;66,2;67,4;67,7;68,2;67,2;67,7;69;69,1;69,6;68,8;70,4;70,7;70,1;71,4;71,1
Hungary;58,8;60,6;61,2;61,3;61,4;62,4;62,1;62,2;62,6;62,6;61,9;60,5;60,4;60,7;62,1;63,2
Malta;:;:;57,2;57,2;57,7;57,8;57,9;57,4;57,9;58,6;59,2;59;60,1;61,6;63,1;64,8
Netherlands;72,2;73,5;74,3;75,4;75,8;75,2;74,9;75,1;76,3;77,8;78,9;78,8;76,8;77;77,2;76,5
Austria;70,7;71,4;71,4;71,5;71,8;72;70,8;71,7;73,2;74,4;75,1;74,7;74,9;75,2;75,6;75,5
Poland;65,4;63,9;61;59,4;57,4;57,1;57,3;58,3;60,1;62,7;65;64,9;64,3;64,5;64,7;64,9
Portugal;72,2;72,6;73,5;73,9;73,6;72,9;72,5;72,2;72,6;72,5;73,1;71,1;70,3;68,8;66,3;65,4
Romania;70,4;69,4;69,1;68,3;63,3;63,7;63,5;63,6;64,8;64,4;64,4;63,5;63,3;62,8;63,8;63,9
Slovenia;68,6;68,1;68,5;69,4;69;68,1;70,4;71,1;71,5;72,4;73;71,9;70,3;68,4;68,3;67,2
Slovakia;67,4;65;63,5;63,5;63,6;64,8;63,7;64,5;66;67,2;68,8;66,4;64,6;65;65,1;65
Finland;69,2;70,8;71,6;72,6;72,6;72,2;72,2;73;73,9;74,8;75,8;73,5;73;73,8;74;73,3
Sweden;75,3;76,5;77,7;78,7;78,5;77,9;77,4;78,1;78,8;80,1;80,4;78,3;78,1;79,4;79,4;79,8
United Kingdom;73,2;73,8;74;74,4;74,5;74,7;75;75,2;75,2;75,2;75,2;73,9;73,6;73,6;74,2;74,8
