geo\time;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Belgium;60,8;62;64,3;66,1;66,9;68;69,6;70,6;70,5;71,3;71,6;72,8
Bulgaria;71,6;71,2;71,7;72,5;75,5;77,4;77,5;77,9;79,4;80;81;81,8
Czech Republic;87,9;88,5;89,1;89,9;90,3;90,5;90,9;91,4;91,9;92,3;92,5;92,8
Denmark;81,1;80,5;81,2;81;81,6;74,3;73,8;74,8;75,6;76,9;77,9;78,3
Germany;83;83,5;83,9;83,1;83,2;84,4;85,3;85,5;85,8;86,3;86,3;86,3
Estonia;87;87,9;88,6;89;88,5;89,1;88,4;88,8;89,3;89,1;90;90,6
Ireland;60,3;62,2;63;65,2;66,6;68,1;70;71,1;72,8;73,6;74,6;76,7
Greece;53,9;55,7;59;60;59,2;60,1;61,3;61,5;62,7;64,6;65,8;67,2
Spain;42,2;43,7;45,4;48,8;49,7;50,6;51,1;51,6;52,9;54;54,7;55,5
France;64,1;65,2;65,9;66,7;67,3;68,5;69,6;70,2;70,8;71,6;72,5;75,1
Italy;44,1;46,4;48,6;50,1;51,3;52,3;53,3;54,3;55,2;56;57,2;58,2
Cyprus;65,1;64,7;64,4;66,6;69,5;72,1;73,1;72,3;74;75,2;77,4;78,5
Latvia;82,2;83,2;84,6;84,5;84,5;84,6;85,9;86,8;88,6;87,9;89,1;89,4
Lithuania;84,9;86,1;86,6;87,5;87,8;88,5;90,4;91,2;91,9;92,9;93,3;93,4
Luxembourg;61,6;59,1;63,2;65,9;65,5;65,7;67,9;77,3;77,7;77,3;78,3;80,5
Hungary;71,4;74,1;75,3;76,4;78,1;79,2;79,7;80,6;81,3;81,8;82,1;82,5
Malta;18,4;19,8;23,6;25,2;26,5;26,6;27,8;30,8;33;35,5;38,2;40,6
Netherlands;67,8;69,2;70,9;71,8;72,4;73,2;73,3;73,4;72,3;72,3;73,4;75,8
Austria;78,3;79;80,2;80,6;80,3;80,1;81;81,9;82,5;82,5;83,1;83,1
Poland;80,9;82,3;83,6;84,8;85,8;86,3;87,1;88;88,5;88,9;89,6;90,1
Portugal;20,6;22,7;24,9;26,3;27,5;27,3;28,1;29,7;31,7;34,6;37,3;39,8
Romania;71,1;70,5;71,5;73,1;74,2;75;75,3;74,7;74,3;74,9;75,9;76,3
Slovenia;77;78,1;79,7;80,3;81,6;81,8;82;83,3;83,3;84,5;85;85,5
Slovakia;86;86,7;87;87,9;88,8;89,1;89,9;90,9;91;91,3;91,7;91,9
Finland;75;76;77,6;78,8;79,6;80,5;81,1;82;83;83,7;84,8;85,9
Sweden;81,4;82,1;82,9;83,6;78,9;79,4;80;80,7;81,2;81,6;82,4;83,2
United Kingdom;66,3;70,2;70,7;71,8;72,7;73,4;73,4;74,6;76,1;76,4;77,9;78,4
EU (27 countries);65,9;67,2;68,3;69,4;70;70,7;71,3;72;72,7;73,4;74,2;75,1
